Month_year,Consultation_Type,Case,Age_Sex,Count,Age_Group,Sex,Age_Group_Num
2023 - 7,1,33,19-24 Female,1.0,19-24,Female,19-24
2023 - 7,1,5,19-24 Female,1.0,19-24,Female,19-24
2023 - 7,1,17,19-24 Female,1.0,19-24,Female,19-24
2023 - 7,2,59,19-24 Female,2.0,19-24,Female,19-24
2023 - 7,2,11,19-24 Female,1.0,19-24,Female,19-24
2023 - 7,2,12,19-24 Female,8.0,19-24,Female,19-24
2023 - 7,2,15,19-24 Female,1.0,19-24,Female,19-24
2023 - 7,2,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 7,2,60,19-24 Female,3.0,19-24,Female,19-24
2023 - 7,2,63,19-24 Female,2.0,19-24,Female,19-24
2023 - 6,1,1,19-24 Female,9.0,19-24,Female,19-24
2023 - 6,1,4,19-24 Female,22.0,19-24,Female,19-24
2023 - 6,1,9,19-24 Female,2.0,19-24,Female,19-24
2023 - 6,1,3,19-24 Female,1.0,19-24,Female,19-24
2023 - 6,1,7,19-24 Female,2.0,19-24,Female,19-24
2023 - 6,1,73,19-24 Female,2.0,19-24,Female,19-24
2023 - 6,1,10,19-24 Female,3.0,19-24,Female,19-24
2023 - 6,1,5,19-24 Female,3.0,19-24,Female,19-24
2023 - 6,1,17,19-24 Female,1.0,19-24,Female,19-24
2023 - 6,1,8,19-24 Female,3.0,19-24,Female,19-24
2023 - 6,2,12,19-24 Female,10.0,19-24,Female,19-24
2023 - 6,2,16,19-24 Female,1.0,19-24,Female,19-24
2023 - 6,2,15,19-24 Female,2.0,19-24,Female,19-24
2023 - 6,2,11,19-24 Female,4.0,19-24,Female,19-24
2023 - 6,2,17,19-24 Female,1.0,19-24,Female,19-24
2023 - 6,2,14,19-24 Female,3.0,19-24,Female,19-24
2023 - 6,2,75,19-24 Female,1.0,19-24,Female,19-24
2023 - 11,1,4,19-24 Female,16.0,19-24,Female,19-24
2023 - 11,1,6,19-24 Female,7.0,19-24,Female,19-24
2023 - 11,1,7,19-24 Female,1.0,19-24,Female,19-24
2023 - 11,1,1,19-24 Female,16.0,19-24,Female,19-24
2023 - 11,1,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 11,1,5,19-24 Female,4.0,19-24,Female,19-24
2023 - 11,1,48,19-24 Female,3.0,19-24,Female,19-24
2023 - 11,1,84,19-24 Female,2.0,19-24,Female,19-24
2023 - 11,1,3,19-24 Female,4.0,19-24,Female,19-24
2023 - 11,2,11,19-24 Female,3.0,19-24,Female,19-24
2023 - 11,2,39,19-24 Female,1.0,19-24,Female,19-24
2023 - 11,2,59,19-24 Female,3.0,19-24,Female,19-24
2023 - 11,2,36,19-24 Female,6.0,19-24,Female,19-24
2023 - 11,2,12,19-24 Female,11.0,19-24,Female,19-24
2023 - 10,1,1,19-24 Female,16.0,19-24,Female,19-24
2023 - 10,1,6,19-24 Female,5.0,19-24,Female,19-24
2023 - 10,1,3,19-24 Female,4.0,19-24,Female,19-24
2023 - 10,1,4,19-24 Female,8.0,19-24,Female,19-24
2023 - 10,1,7,19-24 Female,5.0,19-24,Female,19-24
2023 - 10,1,48,19-24 Female,2.0,19-24,Female,19-24
2023 - 10,1,10,19-24 Female,5.0,19-24,Female,19-24
2023 - 10,1,8,19-24 Female,7.0,19-24,Female,19-24
2023 - 10,1,5,19-24 Female,2.0,19-24,Female,19-24
2023 - 10,1,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 10,2,49,19-24 Female,5.0,19-24,Female,19-24
2023 - 10,2,12,19-24 Female,6.0,19-24,Female,19-24
2023 - 10,2,11,19-24 Female,2.0,19-24,Female,19-24
2023 - 10,2,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 10,2,15,19-24 Female,3.0,19-24,Female,19-24
2023 - 10,2,16,19-24 Female,3.0,19-24,Female,19-24
2023 - 10,2,95,19-24 Female,1.0,19-24,Female,19-24
2023 - 10,2,14,19-24 Female,2.0,19-24,Female,19-24
2023 - 9,1,1,19-24 Female,7.0,19-24,Female,19-24
2023 - 9,1,6,19-24 Female,3.0,19-24,Female,19-24
2023 - 9,1,3,19-24 Female,1.0,19-24,Female,19-24
2023 - 9,1,4,19-24 Female,10.0,19-24,Female,19-24
2023 - 9,1,7,19-24 Female,3.0,19-24,Female,19-24
2023 - 9,1,10,19-24 Female,4.0,19-24,Female,19-24
2023 - 9,1,8,19-24 Female,5.0,19-24,Female,19-24
2023 - 9,1,48,19-24 Female,3.0,19-24,Female,19-24
2023 - 9,1,84,19-24 Female,2.0,19-24,Female,19-24
2023 - 9,1,5,19-24 Female,2.0,19-24,Female,19-24
2023 - 9,2,35,19-24 Female,0.0,19-24,Female,19-24
2023 - 9,2,12,19-24 Female,8.0,19-24,Female,19-24
2023 - 9,2,11,19-24 Female,0.0,19-24,Female,19-24
2023 - 9,2,17,19-24 Female,2.0,19-24,Female,19-24
2023 - 9,2,49,19-24 Female,1.0,19-24,Female,19-24
2023 - 9,2,95,19-24 Female,0.0,19-24,Female,19-24
2023 - 9,2,15,19-24 Female,1.0,19-24,Female,19-24
2023 - 9,2,16,19-24 Female,2.0,19-24,Female,19-24
2023 - 9,2,51,19-24 Female,0.0,19-24,Female,19-24
2023 - 9,2,14,19-24 Female,0.0,19-24,Female,19-24
2023 - 4,1,1,25-29 Male,2.0,25-29,Male,25-29
2023 - 4,1,2,25-29 Male,10.0,25-29,Male,25-29
2023 - 4,1,4,25-29 Male,4.0,25-29,Male,25-29
2023 - 4,1,5,25-29 Male,2.0,25-29,Male,25-29
2023 - 4,1,7,25-29 Male,3.0,25-29,Male,25-29
2023 - 4,1,8,25-29 Male,3.0,25-29,Male,25-29
2023 - 4,1,10,25-29 Male,1.0,25-29,Male,25-29
2023 - 4,2,11,25-29 Male,4.0,25-29,Male,25-29
2023 - 4,2,12,25-29 Male,3.0,25-29,Male,25-29
2023 - 4,2,14,25-29 Male,1.0,25-29,Male,25-29
2023 - 4,2,17,25-29 Male,5.0,25-29,Male,25-29
2023 - 4,3,31,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,1,1,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,1,3,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,1,9,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,1,4,25-29 Male,5.0,25-29,Male,25-29
2023 - 8,1,8,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,1,10,25-29 Male,2.0,25-29,Male,25-29
2023 - 8,1,33,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,1,17,25-29 Male,2.0,25-29,Male,25-29
2023 - 8,2,34,25-29 Male,2.0,25-29,Male,25-29
2023 - 8,2,12,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,2,17,25-29 Male,2.0,25-29,Male,25-29
2023 - 8,2,15,25-29 Male,4.0,25-29,Male,25-29
2023 - 8,2,36,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,2,37,25-29 Male,1.0,25-29,Male,25-29
2023 - 8,3,46,25-29 Male,1.0,25-29,Male,25-29
2023 - 12,1,1,25-29 Male,6.0,25-29,Male,25-29
2023 - 12,1,6,25-29 Male,3.0,25-29,Male,25-29
2023 - 12,1,3,25-29 Male,1.0,25-29,Male,25-29
2023 - 12,1,4,25-29 Male,3.0,25-29,Male,25-29
2023 - 12,1,10,25-29 Male,7.0,25-29,Male,25-29
2023 - 12,1,17,25-29 Male,1.0,25-29,Male,25-29
2023 - 12,1,48,25-29 Male,1.0,25-29,Male,25-29
2023 - 12,1,8,25-29 Male,3.0,25-29,Male,25-29
2023 - 12,2,49,25-29 Male,2.0,25-29,Male,25-29
2023 - 12,2,17,25-29 Male,1.0,25-29,Male,25-29
2023 - 12,2,15,25-29 Male,2.0,25-29,Male,25-29
2023 - 12,2,50,25-29 Male,1.0,25-29,Male,25-29
2023 - 7,1,1,25-29 Male,3.0,25-29,Male,25-29
2023 - 7,1,3,25-29 Male,1.0,25-29,Male,25-29
2023 - 7,1,4,25-29 Male,2.0,25-29,Male,25-29
2023 - 7,1,8,25-29 Male,6.0,25-29,Male,25-29
2023 - 7,1,10,25-29 Male,3.0,25-29,Male,25-29
2023 - 7,1,17,25-29 Male,2.0,25-29,Male,25-29
2023 - 7,2,15,25-29 Male,1.0,25-29,Male,25-29
2023 - 7,2,17,25-29 Male,3.0,25-29,Male,25-29
2023 - 7,2,60,25-29 Male,1.0,25-29,Male,25-29
2023 - 7,2,61,25-29 Male,1.0,25-29,Male,25-29
2023 - 7,2,63,25-29 Male,2.0,25-29,Male,25-29
2023 - 6,1,1,25-29 Male,5.0,25-29,Male,25-29
2023 - 6,1,4,25-29 Male,3.0,25-29,Male,25-29
2023 - 6,1,9,25-29 Male,1.0,25-29,Male,25-29
2023 - 6,1,3,25-29 Male,2.0,25-29,Male,25-29
2023 - 6,1,7,25-29 Male,2.0,25-29,Male,25-29
2023 - 6,1,10,25-29 Male,2.0,25-29,Male,25-29
2023 - 6,1,17,25-29 Male,2.0,25-29,Male,25-29
2023 - 6,1,8,25-29 Male,2.0,25-29,Male,25-29
2023 - 6,2,12,25-29 Male,1.0,25-29,Male,25-29
2023 - 6,2,15,25-29 Male,2.0,25-29,Male,25-29
2023 - 6,2,17,25-29 Male,3.0,25-29,Male,25-29
2023 - 6,2,14,25-29 Male,1.0,25-29,Male,25-29
2023 - 6,2,75,25-29 Male,1.0,25-29,Male,25-29
2023 - 6,3,66,25-29 Male,1.0,25-29,Male,25-29
2023 - 11,1,4,25-29 Male,3.0,25-29,Male,25-29
2023 - 11,1,83,25-29 Male,2.0,25-29,Male,25-29
2023 - 11,1,6,25-29 Male,4.0,25-29,Male,25-29
2023 - 11,1,1,25-29 Male,13.0,25-29,Male,25-29
2023 - 11,1,5,25-29 Male,1.0,25-29,Male,25-29
2023 - 11,1,48,25-29 Male,1.0,25-29,Male,25-29
2023 - 11,2,11,25-29 Male,2.0,25-29,Male,25-29
2023 - 11,2,59,25-29 Male,4.0,25-29,Male,25-29
2023 - 11,2,36,25-29 Male,2.0,25-29,Male,25-29
2023 - 11,2,16,25-29 Male,1.0,25-29,Male,25-29
2023 - 11,2,12,25-29 Male,1.0,25-29,Male,25-29
2023 - 11,3,52,25-29 Male,1.0,25-29,Male,25-29
2023 - 11,3,86,25-29 Male,1.0,25-29,Male,25-29
2023 - 10,1,1,25-29 Male,9.0,25-29,Male,25-29
2023 - 10,1,6,25-29 Male,1.0,25-29,Male,25-29
2023 - 10,1,3,25-29 Male,2.0,25-29,Male,25-29
2023 - 10,1,4,25-29 Male,4.0,25-29,Male,25-29
2023 - 10,1,7,25-29 Male,2.0,25-29,Male,25-29
2023 - 10,1,48,25-29 Male,2.0,25-29,Male,25-29
2023 - 10,1,8,25-29 Male,3.0,25-29,Male,25-29
2023 - 10,1,17,25-29 Male,5.0,25-29,Male,25-29
2023 - 10,2,49,25-29 Male,1.0,25-29,Male,25-29
2023 - 10,2,12,25-29 Male,2.0,25-29,Male,25-29
2023 - 10,2,17,25-29 Male,4.0,25-29,Male,25-29
2023 - 10,2,14,25-29 Male,3.0,25-29,Male,25-29
2023 - 10,3,97,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,1,1,25-29 Male,5.0,25-29,Male,25-29
2023 - 9,1,6,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,1,3,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,1,4,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,1,7,25-29 Male,3.0,25-29,Male,25-29
2023 - 9,1,10,25-29 Male,4.0,25-29,Male,25-29
2023 - 9,1,8,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,1,48,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,1,5,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,2,35,25-29 Male,0.0,25-29,Male,25-29
2023 - 9,2,12,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,2,11,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,2,17,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,2,49,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,2,95,25-29 Male,0.0,25-29,Male,25-29
2023 - 9,2,15,25-29 Male,1.0,25-29,Male,25-29
2023 - 9,2,16,25-29 Male,0.0,25-29,Male,25-29
2023 - 9,2,51,25-29 Male,0.0,25-29,Male,25-29
2023 - 9,2,14,25-29 Male,0.0,25-29,Male,25-29
2023 - 4,1,1,25-29 Female,7.0,25-29,Female,25-29
2023 - 4,1,2,25-29 Female,48.0,25-29,Female,25-29
2023 - 4,1,3,25-29 Female,1.0,25-29,Female,25-29
2023 - 4,1,4,25-29 Female,7.0,25-29,Female,25-29
2023 - 4,1,6,25-29 Female,2.0,25-29,Female,25-29
2023 - 4,1,7,25-29 Female,3.0,25-29,Female,25-29
2023 - 4,1,8,25-29 Female,6.0,25-29,Female,25-29
2023 - 4,1,10,25-29 Female,3.0,25-29,Female,25-29
2023 - 4,2,12,25-29 Female,7.0,25-29,Female,25-29
2023 - 4,2,14,25-29 Female,2.0,25-29,Female,25-29
2023 - 4,2,15,25-29 Female,3.0,25-29,Female,25-29
2023 - 4,2,16,25-29 Female,1.0,25-29,Female,25-29
2023 - 8,1,1,25-29 Female,6.0,25-29,Female,25-29
2023 - 8,1,3,25-29 Female,3.0,25-29,Female,25-29
2023 - 8,1,9,25-29 Female,2.0,25-29,Female,25-29
2023 - 8,1,4,25-29 Female,4.0,25-29,Female,25-29
2023 - 8,1,7,25-29 Female,3.0,25-29,Female,25-29
2023 - 8,1,8,25-29 Female,4.0,25-29,Female,25-29
2023 - 8,1,5,25-29 Female,1.0,25-29,Female,25-29
2023 - 8,1,10,25-29 Female,4.0,25-29,Female,25-29
2023 - 8,2,34,25-29 Female,5.0,25-29,Female,25-29
2023 - 8,2,12,25-29 Female,6.0,25-29,Female,25-29
2023 - 8,2,15,25-29 Female,2.0,25-29,Female,25-29
2023 - 8,2,36,25-29 Female,1.0,25-29,Female,25-29
2023 - 8,2,38,25-29 Female,1.0,25-29,Female,25-29
2023 - 8,2,39,25-29 Female,1.0,25-29,Female,25-29
2023 - 12,1,1,25-29 Female,5.0,25-29,Female,25-29
2023 - 12,1,6,25-29 Female,7.0,25-29,Female,25-29
2023 - 12,1,3,25-29 Female,2.0,25-29,Female,25-29
2023 - 12,1,4,25-29 Female,14.0,25-29,Female,25-29
2023 - 12,1,7,25-29 Female,2.0,25-29,Female,25-29
2023 - 12,1,5,25-29 Female,3.0,25-29,Female,25-29
2023 - 12,1,10,25-29 Female,3.0,25-29,Female,25-29
2023 - 12,1,17,25-29 Female,1.0,25-29,Female,25-29
2023 - 12,1,48,25-29 Female,3.0,25-29,Female,25-29
2023 - 12,1,8,25-29 Female,4.0,25-29,Female,25-29
2023 - 12,2,49,25-29 Female,1.0,25-29,Female,25-29
2023 - 12,2,11,25-29 Female,1.0,25-29,Female,25-29
2023 - 12,2,12,25-29 Female,5.0,25-29,Female,25-29
2023 - 12,2,17,25-29 Female,1.0,25-29,Female,25-29
2023 - 12,2,15,25-29 Female,1.0,25-29,Female,25-29
2023 - 12,2,14,25-29 Female,1.0,25-29,Female,25-29
2023 - 7,1,1,25-29 Female,2.0,25-29,Female,25-29
2023 - 7,1,4,25-29 Female,9.0,25-29,Female,25-29
2023 - 7,1,7,25-29 Female,3.0,25-29,Female,25-29
2023 - 7,1,6,25-29 Female,1.0,25-29,Female,25-29
2023 - 7,1,8,25-29 Female,7.0,25-29,Female,25-29
2023 - 7,1,10,25-29 Female,4.0,25-29,Female,25-29
2023 - 7,1,5,25-29 Female,2.0,25-29,Female,25-29
2023 - 7,2,11,25-29 Female,3.0,25-29,Female,25-29
2023 - 7,2,12,25-29 Female,8.0,25-29,Female,25-29
2023 - 7,2,15,25-29 Female,2.0,25-29,Female,25-29
2023 - 7,2,60,25-29 Female,2.0,25-29,Female,25-29
2023 - 6,1,1,25-29 Female,4.0,25-29,Female,25-29
2023 - 6,1,4,25-29 Female,11.0,25-29,Female,25-29
2023 - 6,1,9,25-29 Female,2.0,25-29,Female,25-29
2023 - 6,1,3,25-29 Female,2.0,25-29,Female,25-29
2023 - 6,1,10,25-29 Female,2.0,25-29,Female,25-29
2023 - 6,1,5,25-29 Female,1.0,25-29,Female,25-29
2023 - 6,1,17,25-29 Female,1.0,25-29,Female,25-29
2023 - 6,1,8,25-29 Female,5.0,25-29,Female,25-29
2023 - 6,2,12,25-29 Female,9.0,25-29,Female,25-29
2023 - 6,2,16,25-29 Female,1.0,25-29,Female,25-29
2023 - 6,2,15,25-29 Female,1.0,25-29,Female,25-29
2023 - 6,2,11,25-29 Female,1.0,25-29,Female,25-29
2023 - 6,2,17,25-29 Female,1.0,25-29,Female,25-29
2023 - 6,2,14,25-29 Female,2.0,25-29,Female,25-29
2023 - 11,1,4,25-29 Female,9.0,25-29,Female,25-29
2023 - 11,1,83,25-29 Female,1.0,25-29,Female,25-29
2023 - 11,1,6,25-29 Female,6.0,25-29,Female,25-29
2023 - 11,1,1,25-29 Female,9.0,25-29,Female,25-29
2023 - 11,1,48,25-29 Female,4.0,25-29,Female,25-29
2023 - 11,1,84,25-29 Female,1.0,25-29,Female,25-29
2023 - 11,1,3,25-29 Female,3.0,25-29,Female,25-29
2023 - 11,2,11,25-29 Female,1.0,25-29,Female,25-29
2023 - 11,2,59,25-29 Female,3.0,25-29,Female,25-29
2023 - 11,2,36,25-29 Female,3.0,25-29,Female,25-29
2023 - 11,2,12,25-29 Female,4.0,25-29,Female,25-29
2023 - 10,1,1,25-29 Female,5.0,25-29,Female,25-29
2023 - 10,1,6,25-29 Female,6.0,25-29,Female,25-29
2023 - 10,1,3,25-29 Female,1.0,25-29,Female,25-29
2023 - 10,1,4,25-29 Female,4.0,25-29,Female,25-29
2023 - 10,1,7,25-29 Female,4.0,25-29,Female,25-29
2023 - 10,1,48,25-29 Female,3.0,25-29,Female,25-29
2023 - 10,1,10,25-29 Female,2.0,25-29,Female,25-29
2023 - 10,1,8,25-29 Female,3.0,25-29,Female,25-29
2023 - 10,1,5,25-29 Female,2.0,25-29,Female,25-29
2023 - 10,1,17,25-29 Female,4.0,25-29,Female,25-29
2023 - 10,2,49,25-29 Female,1.0,25-29,Female,25-29
2023 - 10,2,12,25-29 Female,4.0,25-29,Female,25-29
2023 - 10,2,11,25-29 Female,3.0,25-29,Female,25-29
2023 - 10,2,17,25-29 Female,4.0,25-29,Female,25-29
2023 - 10,2,16,25-29 Female,1.0,25-29,Female,25-29
2023 - 9,1,1,25-29 Female,4.0,25-29,Female,25-29
2023 - 9,1,6,25-29 Female,1.0,25-29,Female,25-29
2023 - 9,1,3,25-29 Female,1.0,25-29,Female,25-29
2023 - 9,1,4,25-29 Female,3.0,25-29,Female,25-29
2023 - 9,1,7,25-29 Female,5.0,25-29,Female,25-29
2023 - 9,1,10,25-29 Female,1.0,25-29,Female,25-29
2023 - 9,1,8,25-29 Female,2.0,25-29,Female,25-29
2023 - 9,1,48,25-29 Female,2.0,25-29,Female,25-29
2023 - 9,1,5,25-29 Female,1.0,25-29,Female,25-29
2023 - 9,2,35,25-29 Female,0.0,25-29,Female,25-29
2023 - 9,2,12,25-29 Female,4.0,25-29,Female,25-29
2023 - 9,2,11,25-29 Female,1.0,25-29,Female,25-29
2023 - 9,2,17,25-29 Female,0.0,25-29,Female,25-29
2023 - 9,2,49,25-29 Female,2.0,25-29,Female,25-29
2023 - 9,2,95,25-29 Female,0.0,25-29,Female,25-29
2023 - 9,2,15,25-29 Female,0.0,25-29,Female,25-29
2023 - 9,2,16,25-29 Female,1.0,25-29,Female,25-29
2023 - 9,2,51,25-29 Female,0.0,25-29,Female,25-29
2023 - 9,2,14,25-29 Female,0.0,25-29,Female,25-29
2023 - 4,1,2,30-34 Male,13.0,30-34,Male,30-34
2023 - 4,1,6,30-34 Male,1.0,30-34,Male,30-34
2023 - 4,1,7,30-34 Male,2.0,30-34,Male,30-34
2023 - 4,1,10,30-34 Male,1.0,30-34,Male,30-34
2023 - 8,1,1,30-34 Male,2.0,30-34,Male,30-34
2023 - 8,1,3,30-34 Male,1.0,30-34,Male,30-34
2023 - 8,1,9,30-34 Male,1.0,30-34,Male,30-34
2023 - 8,1,4,30-34 Male,5.0,30-34,Male,30-34
2023 - 8,1,8,30-34 Male,1.0,30-34,Male,30-34
2023 - 8,1,33,30-34 Male,2.0,30-34,Male,30-34
2023 - 8,1,17,30-34 Male,1.0,30-34,Male,30-34
2023 - 8,2,34,30-34 Male,2.0,30-34,Male,30-34
2023 - 8,2,12,30-34 Male,2.0,30-34,Male,30-34
2023 - 8,2,17,30-34 Male,2.0,30-34,Male,30-34
2023 - 8,2,36,30-34 Male,3.0,30-34,Male,30-34
2023 - 8,2,37,30-34 Male,1.0,30-34,Male,30-34
2023 - 8,2,38,30-34 Male,1.0,30-34,Male,30-34
2023 - 8,2,39,30-34 Male,2.0,30-34,Male,30-34
2023 - 8,3,44,30-34 Male,1.0,30-34,Male,30-34
2023 - 12,1,1,30-34 Male,4.0,30-34,Male,30-34
2023 - 12,1,6,30-34 Male,5.0,30-34,Male,30-34
2023 - 12,1,3,30-34 Male,4.0,30-34,Male,30-34
2023 - 12,1,4,30-34 Male,5.0,30-34,Male,30-34
2023 - 12,1,7,30-34 Male,2.0,30-34,Male,30-34
2023 - 12,1,5,30-34 Male,1.0,30-34,Male,30-34
2023 - 12,1,10,30-34 Male,1.0,30-34,Male,30-34
2023 - 12,1,17,30-34 Male,2.0,30-34,Male,30-34
2023 - 12,1,8,30-34 Male,1.0,30-34,Male,30-34
2023 - 12,2,35,30-34 Male,1.0,30-34,Male,30-34
2023 - 12,2,49,30-34 Male,3.0,30-34,Male,30-34
2023 - 12,2,11,30-34 Male,2.0,30-34,Male,30-34
2023 - 12,2,17,30-34 Male,2.0,30-34,Male,30-34
2023 - 12,2,15,30-34 Male,1.0,30-34,Male,30-34
2023 - 12,2,14,30-34 Male,1.0,30-34,Male,30-34
2023 - 7,1,1,30-34 Male,2.0,30-34,Male,30-34
2023 - 7,1,4,30-34 Male,5.0,30-34,Male,30-34
2023 - 7,1,7,30-34 Male,1.0,30-34,Male,30-34
2023 - 7,1,8,30-34 Male,1.0,30-34,Male,30-34
2023 - 7,1,10,30-34 Male,2.0,30-34,Male,30-34
2023 - 7,1,33,30-34 Male,1.0,30-34,Male,30-34
2023 - 7,1,5,30-34 Male,2.0,30-34,Male,30-34
2023 - 7,1,17,30-34 Male,6.0,30-34,Male,30-34
2023 - 7,2,59,30-34 Male,2.0,30-34,Male,30-34
2023 - 7,2,11,30-34 Male,1.0,30-34,Male,30-34
2023 - 7,2,12,30-34 Male,2.0,30-34,Male,30-34
2023 - 7,2,17,30-34 Male,6.0,30-34,Male,30-34
2023 - 7,2,60,30-34 Male,1.0,30-34,Male,30-34
2023 - 7,2,62,30-34 Male,1.0,30-34,Male,30-34
2023 - 7,2,63,30-34 Male,2.0,30-34,Male,30-34
2023 - 6,1,1,30-34 Male,1.0,30-34,Male,30-34
2023 - 6,1,4,30-34 Male,4.0,30-34,Male,30-34
2023 - 6,1,9,30-34 Male,3.0,30-34,Male,30-34
2023 - 6,1,3,30-34 Male,1.0,30-34,Male,30-34
2023 - 6,1,7,30-34 Male,1.0,30-34,Male,30-34
2023 - 6,1,17,30-34 Male,2.0,30-34,Male,30-34
2023 - 6,1,8,30-34 Male,4.0,30-34,Male,30-34
2023 - 6,2,12,30-34 Male,1.0,30-34,Male,30-34
2023 - 6,2,16,30-34 Male,1.0,30-34,Male,30-34
2023 - 6,2,36,30-34 Male,1.0,30-34,Male,30-34
2023 - 6,2,17,30-34 Male,2.0,30-34,Male,30-34
2023 - 6,2,75,30-34 Male,3.0,30-34,Male,30-34
2023 - 11,1,4,30-34 Male,5.0,30-34,Male,30-34
2023 - 11,1,83,30-34 Male,2.0,30-34,Male,30-34
2023 - 11,1,6,30-34 Male,3.0,30-34,Male,30-34
2023 - 11,1,1,30-34 Male,5.0,30-34,Male,30-34
2023 - 11,1,17,30-34 Male,2.0,30-34,Male,30-34
2023 - 11,2,11,30-34 Male,1.0,30-34,Male,30-34
2023 - 11,2,14,30-34 Male,1.0,30-34,Male,30-34
2023 - 11,2,12,30-34 Male,2.0,30-34,Male,30-34
2023 - 11,3,52,30-34 Male,2.0,30-34,Male,30-34
2023 - 10,1,1,30-34 Male,1.0,30-34,Male,30-34
2023 - 10,1,6,30-34 Male,1.0,30-34,Male,30-34
2023 - 10,1,4,30-34 Male,2.0,30-34,Male,30-34
2023 - 10,1,7,30-34 Male,2.0,30-34,Male,30-34
2023 - 10,1,10,30-34 Male,1.0,30-34,Male,30-34
2023 - 10,1,8,30-34 Male,2.0,30-34,Male,30-34
2023 - 10,1,5,30-34 Male,1.0,30-34,Male,30-34
2023 - 10,1,17,30-34 Male,3.0,30-34,Male,30-34
2023 - 10,2,12,30-34 Male,2.0,30-34,Male,30-34
2023 - 10,2,17,30-34 Male,3.0,30-34,Male,30-34
2023 - 10,2,95,30-34 Male,1.0,30-34,Male,30-34
2023 - 10,2,14,30-34 Male,1.0,30-34,Male,30-34
2023 - 9,1,1,30-34 Male,1.0,30-34,Male,30-34
2023 - 9,1,6,30-34 Male,2.0,30-34,Male,30-34
2023 - 9,1,3,30-34 Male,2.0,30-34,Male,30-34
2023 - 9,1,4,30-34 Male,3.0,30-34,Male,30-34
2023 - 9,1,7,30-34 Male,2.0,30-34,Male,30-34
2023 - 9,1,8,30-34 Male,4.0,30-34,Male,30-34
2023 - 9,1,48,30-34 Male,3.0,30-34,Male,30-34
2023 - 9,1,84,30-34 Male,1.0,30-34,Male,30-34
2023 - 9,2,35,30-34 Male,0.0,30-34,Male,30-34
2023 - 9,2,12,30-34 Male,2.0,30-34,Male,30-34
2023 - 9,2,11,30-34 Male,0.0,30-34,Male,30-34
2023 - 9,2,17,30-34 Male,1.0,30-34,Male,30-34
2023 - 9,2,49,30-34 Male,1.0,30-34,Male,30-34
2023 - 9,2,95,30-34 Male,0.0,30-34,Male,30-34
2023 - 9,2,15,30-34 Male,0.0,30-34,Male,30-34
2023 - 9,2,16,30-34 Male,0.0,30-34,Male,30-34
2023 - 9,2,51,30-34 Male,0.0,30-34,Male,30-34
2023 - 9,2,14,30-34 Male,0.0,30-34,Male,30-34
2023 - 4,1,1,30-34 Female,2.0,30-34,Female,30-34
2023 - 4,1,2,30-34 Female,44.0,30-34,Female,30-34
2023 - 4,1,3,30-34 Female,1.0,30-34,Female,30-34
2023 - 4,1,4,30-34 Female,6.0,30-34,Female,30-34
2023 - 4,1,5,30-34 Female,1.0,30-34,Female,30-34
2023 - 4,1,7,30-34 Female,2.0,30-34,Female,30-34
2023 - 4,1,8,30-34 Female,3.0,30-34,Female,30-34
2023 - 4,1,10,30-34 Female,5.0,30-34,Female,30-34
2023 - 4,2,11,30-34 Female,2.0,30-34,Female,30-34
2023 - 4,2,12,30-34 Female,8.0,30-34,Female,30-34
2023 - 4,2,15,30-34 Female,1.0,30-34,Female,30-34
2023 - 8,1,1,30-34 Female,2.0,30-34,Female,30-34
2023 - 8,1,9,30-34 Female,2.0,30-34,Female,30-34
2023 - 8,1,4,30-34 Female,5.0,30-34,Female,30-34
2023 - 8,1,7,30-34 Female,1.0,30-34,Female,30-34
2023 - 8,1,8,30-34 Female,3.0,30-34,Female,30-34
2023 - 8,1,5,30-34 Female,1.0,30-34,Female,30-34
2023 - 8,1,10,30-34 Female,3.0,30-34,Female,30-34
2023 - 8,1,33,30-34 Female,1.0,30-34,Female,30-34
2023 - 8,2,34,30-34 Female,2.0,30-34,Female,30-34
2023 - 8,2,12,30-34 Female,1.0,30-34,Female,30-34
2023 - 8,2,15,30-34 Female,1.0,30-34,Female,30-34
